,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,6W,6900,"268,9","6,5"
,6W,7000,"274,5","6,7"
,6W,7100,"280,1","6,8"
,6W,7200,"285,8",7
,6W,7300,"291,6","7,1"
,6W,7400,"297,4","7,3"
,6W,7500,"303,3","7,4"
,6W,7600,"309,3","7,6"
,6W,7700,"315,3","7,7"
,6W,7800,"321,4","7,9"
,6W,7900,"327,5","8,1"
,6W,8000,"333,7","8,3"
,6W,8100,340,"8,4"
,6W,8200,"346,4","8,6"
,6W,8300,"352,8","8,8"
,6W,8400,"359,4",9
,6W,8500,366,"9,2"
,6W,8600,"372,7","9,4"
,6W,8700,"379,5","9,6"
,6W,8800,"386,4","9,8"
,6W,8900,"393,4",10
,6W,9000,"400,5","10,2"
,6W,9100,"407,8","10,4"
,6W,9200,"415,1","10,6"
,6W,9300,"422,6","10,9"
,6W,9400,"430,2","11,1"
,6W,9500,"437,9","11,4"
,6W,9600,"445,8","11,6"
,6W,9700,"453,9","11,9"
,6W,9800,"462,1","12,1"
,6W,9900,"470,5","12,4"
,6W,10000,"479,1","12,7"
,6W,10100,"487,9",13
,6W,10200,"496,9","13,3"
,6W,10300,"506,2","13,6"
,6W,10400,"515,7",14
,6W,10500,"525,6","14,3"
,6W,10600,"535,7","14,7"
,6W,10700,"546,3","15,1"
,6W,10800,"557,3","15,5"
,6W,10900,"568,8","15,9"
,6W,11000,"580,8","16,4"
,6W,11100,"593,5","16,9"
,6W,11200,607,"17,5"
,6W,11300,"621,4","18,1"
,6W,11400,"637,1","18,7"
,6W,11500,"654,6","19,5"
,6W,11600,"674,5","20,4"
,6W,11700,"698,6","21,5"
,6W,11800,"731,3","23,2"
,6W,11800,"850,7","30,4"
,6W,11700,"882,8","32,8"
,6W,11600,"906,1","34,6"
,6W,11500,"925,4","36,3"
,6W,11400,"942,2","37,8"
,6W,11300,"957,3","39,2"
,6W,11200,971,"40,6"
,6W,11100,"983,8","41,9"
,6W,11000,"995,8","43,2"
,6W,10900,"1007,1","44,5"
,6W,10800,"1017,8","45,8"
,6W,10700,1028,47
,6W,10600,"1037,8","48,3"
,6W,10500,"1047,2","49,6"
,6W,10400,"1056,3","50,8"
,6W,10300,1065,"52,1"
,6W,10200,"1073,5","53,4"
,6W,10100,"1081,7","54,7"
,6W,10000,"1089,7",56
,6W,9900,"1097,4","57,3"
,6W,9800,1105,"58,6"
,6W,9700,"1112,3","59,9"
,6W,9600,"1119,5","61,3"
,6W,9500,"1126,5","62,7"
,6W,9400,"1133,4","64,1"
,6W,9300,"1140,1","65,6"
,6W,9200,"1146,7","67,1"
,6W,9100,"1153,2","68,6"
,6W,9000,"1159,5","70,2"
,6W,8900,"1165,7","71,8"
,6W,8800,"1171,8","73,4"
,6W,8700,"1177,7","75,1"
,6W,8600,"1183,6","76,8"
,6W,8500,"1189,4","78,6"
,6W,8400,1195,"80,4"
,6W,8300,"1200,6","82,3"
,6W,8200,"1206,1","84,3"
,6W,8100,"1211,4","86,4"
,6W,8000,"1216,7","88,5"
,6W,7900,"1221,9","90,7"
,6W,7800,1227,"93,1"
,6W,7700,1232,"95,6"
,6W,7600,"1236,9","98,2"
,6W,7500,"1241,8","100,9"
,6W,7400,"1246,5","103,8"
,6W,7300,"1251,2","106,9"
,6W,7200,"1255,7","110,2"
,6W,7100,"1260,2","113,7"
,6W,7000,"1264,6","117,4"
,6W,6900,"1268,9","121,5"
,6W,6800,1273,"125,8"
,6W,6700,"1277,1","130,5"
,6W,6600,"1281,1","135,7"
,6W,6500,1285,"141,2"
,6W,6400,"1288,8","147,2"
,6W,6300,"1292,4","153,7"
,7W,0,0,0
,7W,100,"1,8",0
,7W,200,"3,5","0,1"
,7W,300,"5,2","0,1"
,7W,400,"6,9","0,2"
,7W,500,"8,7","0,2"
,7W,600,"10,5","0,3"
,7W,700,"12,3","0,3"
,7W,800,"14,2","0,4"
,7W,900,16,"0,4"
,7W,1000,"17,9","0,5"
,7W,1100,"19,8","0,5"
,7W,1200,"21,7","0,6"
,7W,1300,"23,7","0,6"
,7W,1400,"25,7","0,7"
,7W,1500,"27,7","0,7"
,7W,1600,"29,7","0,8"
,7W,1700,"31,8","0,8"
,7W,1800,"33,8","0,9"
,7W,1900,"35,9",1
,7W,2000,"38,1",1
,7W,2100,"40,2","1,1"
,7W,2200,"42,4","1,1"
,7W,2300,"44,6","1,2"
,7W,2400,"46,9","1,3"
,7W,2500,"49,1","1,3"
,7W,2600,"51,4","1,4"
,7W,2700,"53,7","1,5"
,7W,2800,"56,1","1,5"
,7W,2900,"58,5","1,6"
,7W,3000,"60,9","1,6"
,7W,3100,"63,4","1,7"
,7W,3200,"65,8","1,8"
,7W,3300,"68,4","1,9"
,7W,3400,"70,9","1,9"
,7W,3500,"73,5",2
,7W,3600,"76,1","2,1"
,7W,3700,"78,8","2,1"
,7W,3800,"81,5","2,2"
,7W,3900,"84,2","2,3"
,7W,4000,"86,9","2,4"
,7W,4100,"89,7","2,5"
,7W,4200,"92,6","2,5"
,7W,4300,"95,5","2,6"
,7W,4400,"98,4","2,7"
,7W,4500,"101,4","2,8"
,7W,4600,"104,4","2,9"
,7W,4700,"107,4",3
